Order_ID,Delivery_Date,Delivery_Status,Shipping_Cost
ORD00001,2024-08-05,Delivered,39.03
ORD00002,,N/A,121.64
ORD00003,2025-03-23,Delivered,193.62
ORD00004,2024-11-22,Delivered,199.86
ORD00005,2025-04-17,Delivered,195.35
ORD00006,,N/A,184.31
ORD00007,2025-06-03,Delivered,35.34
ORD00008,,N/A,47.4
ORD00009,2024-12-22,Delivered,107.12
ORD00010,2025-03-28,Delivered,40.62
ORD00011,2025-01-23,Delivered,101.36
ORD00012,2025-06-01,Delivered,188.48
ORD00013,2024-11-28,Delivered,93.87
ORD00014,2024-12-27,Delivered,69.34
ORD00015,2024-08-08,Delivered,38.15
ORD00016,2025-01-04,Delivered,179.55
ORD00017,,N/A,82.99
ORD00018,,N/A,129.24
ORD00019,,N/A,75.96
ORD00020,,N/A,118.87
ORD00021,,N/A,80.42
ORD00022,2025-06-18,Delivered,72.53
ORD00023,2024-08-13,Delivered,81.7
ORD00024,2024-10-20,Delivered,102.69
ORD00025,2024-07-26,Delivered,116.91
ORD00026,2025-06-06,Delivered,149.14
ORD00027,2024-12-10,Delivered,142.49
ORD00028,2025-05-31,Delivered,35.92
ORD00029,2024-08-24,Delivered,26.12
ORD00030,,N/A,150.53
ORD00031,,N/A,195.35
ORD00032,,N/A,137.15
ORD00033,2024-10-10,Delivered,153.13
ORD00034,2024-09-04,Delivered,37.97
ORD00035,,N/A,141.74
ORD00036,2025-01-23,Delivered,178.73
ORD00037,2025-02-26,Delivered,148.25
ORD00038,2025-01-23,Delivered,142.2
ORD00039,2025-04-29,Delivered,83.21
ORD00040,2024-11-27,Delivered,131.78
ORD00041,2025-01-09,Delivered,151.11
ORD00042,2024-07-09,Delivered,45.35
ORD00043,2025-01-20,Delivered,137.09
ORD00044,,N/A,107.78
ORD00045,,N/A,108.44
ORD00046,2024-08-14,Delivered,149.19
ORD00047,,N/A,95.34
ORD00048,2025-05-07,Delivered,85.05
ORD00049,2024-09-09,Delivered,143.61
ORD00050,,N/A,133.21
ORD00051,,N/A,61.39
ORD00052,2025-01-20,Delivered,159.24
ORD00053,,N/A,36.49
ORD00054,,N/A,42.63
ORD00055,2025-05-17,Delivered,98.19
ORD00056,2024-09-21,Delivered,152.32
ORD00057,2024-11-05,Delivered,35.68
ORD00058,,N/A,149.54
ORD00059,2025-01-16,Delivered,91.57
ORD00060,2024-07-17,Delivered,24.81
ORD00061,2025-04-14,Delivered,30.44
ORD00062,2025-03-30,Delivered,135.0
ORD00063,2025-05-01,Delivered,67.35
ORD00064,2025-06-05,Delivered,69.34
ORD00065,2024-07-28,Delivered,93.33
ORD00066,2025-06-04,Delivered,98.32
ORD00067,2024-09-05,Delivered,144.63
ORD00068,2025-01-06,Delivered,109.78
ORD00069,2024-10-24,Delivered,71.19
ORD00070,,N/A,46.1
ORD00071,2024-08-18,Delivered,36.94
ORD00072,2024-10-22,Delivered,103.48
ORD00073,2024-11-06,Delivered,36.98
ORD00074,2025-02-20,Delivered,108.34
ORD00075,2024-07-26,Delivered,63.45
ORD00076,2024-09-09,Delivered,71.49
ORD00077,,N/A,74.26
ORD00078,2024-07-26,Delivered,45.21
ORD00079,2025-02-07,Delivered,62.53
ORD00080,,N/A,74.33
ORD00081,2024-12-24,Delivered,24.35
ORD00082,2024-12-12,Delivered,125.07
ORD00083,2025-05-09,Delivered,38.76
ORD00084,2025-03-07,Delivered,120.83
ORD00085,2025-06-09,Delivered,120.17
ORD00086,,N/A,82.72
ORD00087,2024-10-20,Delivered,162.13
ORD00088,2024-08-27,Delivered,45.17
ORD00089,2024-12-06,Delivered,183.04
ORD00090,,N/A,60.18
ORD00091,2025-01-28,Delivered,80.77
ORD00092,2024-11-04,Delivered,43.51
ORD00093,,N/A,158.34
ORD00094,2024-07-08,Delivered,184.08
