Order_ID,Product_ID,Quantity,Discount
ORD00944,PROD0014,1,0.17
ORD01956,PROD0017,5,0.03
ORD01856,PROD0159,4,0.12
ORD00830,PROD0057,3,0.15
ORD01402,PROD0053,3,0.19
ORD04885,PROD0074,1,0.03
ORD04123,PROD0180,5,0.14
ORD02502,PROD0177,2,0.05
ORD00569,PROD0043,2,0.1
ORD03730,PROD0037,1,0.2
ORD03506,PROD0086,1,0.05
ORD02162,PROD0020,2,0.2
ORD00080,PROD0153,3,0.29
ORD04778,PROD0001,4,0.26
ORD03872,PROD0029,1,0.25
ORD04648,PROD0175,3,0.25
ORD04304,PROD0129,2,0.23
ORD00770,PROD0026,3,0.24
ORD02750,PROD0116,4,0.22
ORD04471,PROD0066,4,0.08
ORD03759,PROD0004,3,0.09
ORD02734,PROD0133,5,0.15
ORD02212,PROD0176,5,0.22
ORD00170,PROD0038,4,0.26
ORD01161,PROD0092,4,0.01
ORD04732,PROD0190,4,0.11
ORD00732,PROD0050,4,0.19
ORD02244,PROD0161,5,0.27
ORD03681,PROD0135,2,0.08
ORD02858,PROD0085,4,0.18
ORD02264,PROD0080,2,0.01
ORD04261,PROD0180,3,0.25
ORD01008,PROD0111,4,0.17
ORD02843,PROD0074,1,0.29
ORD04088,PROD0176,2,0.14
ORD01231,PROD0134,3,0.19
ORD01333,PROD0078,4,0.09
ORD02415,PROD0004,4,0.01
ORD02319,PROD0152,1,0.02
ORD02506,PROD0002,4,0.11
ORD00006,PROD0013,3,0.04
ORD02321,PROD0129,5,0.05
ORD00705,PROD0183,3,0.04
ORD01612,PROD0111,5,0.28
ORD02383,PROD0057,1,0.14
ORD02906,PROD0064,4,0.13
ORD00804,PROD0067,3,0.18
ORD01420,PROD0145,4,0.2
ORD02642,PROD0149,2,0.2
ORD01635,PROD0065,2,0.12
ORD01635,PROD0078,3,0.03
ORD04643,PROD0161,4,0.16
ORD03080,PROD0112,1,0.04
ORD03621,PROD0178,3,0.15
ORD02930,PROD0120,3,0.13
ORD03445,PROD0106,4,0.01
ORD04579,PROD0007,4,0.03
ORD01152,PROD0158,3,0.24
ORD04755,PROD0132,3,0.04
ORD04451,PROD0145,3,0.02
ORD03217,PROD0033,4,0.2
ORD03792,PROD0196,5,0.14
ORD00446,PROD0022,1,0.08
ORD00877,PROD0086,5,0.03
ORD02381,PROD0145,4,0.21
ORD00499,PROD0032,5,0.2
ORD00435,PROD0180,2,0.15
ORD04605,PROD0190,4,0.04
ORD01268,PROD0078,3,0.22
ORD00053,PROD0125,5,0.21
ORD00940,PROD0018,1,0.05
ORD00992,PROD0134,1,0.07
ORD00849,PROD0122,1,0.25
ORD03636,PROD0101,1,0.28
ORD02457,PROD0104,4,0.29
ORD01925,PROD0140,3,0.25
ORD03598,PROD0169,5,0.04
ORD01199,PROD0163,1,0.06
ORD01972,PROD0044,5,0.22
ORD04479,PROD0052,4,0.14
ORD02372,PROD0171,1,0.29
ORD04039,PROD0095,3,0.12
ORD00880,PROD0119,4,0.24
ORD01214,PROD0008,3,0.14
ORD04623,PROD0100,1,0.17
ORD00280,PROD0166,5,0.13
ORD02906,PROD0036,4,0.26
ORD03755,PROD0071,1,0.29
ORD02931,PROD0129,5,0.06
ORD04302,PROD0100,5,0.02
ORD01241,PROD0091,5,0.1
ORD01148,PROD0072,3,0.28
ORD00559,PROD0166,4,0.11
ORD03865,PROD0156,2,0.17
ORD04154,PROD0199,5,0.08
ORD02655,PROD0151,5,0.1
ORD03308,PROD0018,1,0.01
ORD01304,PROD0060,1,0.2
ORD04092,PROD0174,4,0.1
ORD01897,PROD0198,2,0.03
ORD01426,PROD0187,4,0.23
ORD03442,PROD0017,1,0.18
ORD00938,PROD0010,1,0.13
ORD03067,PROD0156,1,0.28
ORD02631,PROD0028,4,0.11
ORD04701,PROD0143,2,0.06
ORD04024,PROD0113,3,0.07
ORD01328,PROD0112,5,0.24
ORD01576,PROD0023,5,0.01
ORD00789,PROD0053,1,0.24
ORD00043,PROD0093,4,0.17
ORD00590,PROD0088,2,0.2
ORD04327,PROD0128,2,0.25
ORD04673,PROD0122,5,0.11
ORD04577,PROD0036,1,0.13
ORD03082,PROD0019,5,0.02
ORD04238,PROD0077,1,0.04
ORD01889,PROD0014,5,0.16
ORD00185,PROD0058,3,0.28
ORD02060,PROD0100,3,0.02
ORD01294,PROD0074,1,0.16
ORD01978,PROD0133,5,0.15
ORD03271,PROD0159,1,0.16
ORD00909,PROD0150,4,0.28
ORD02155,PROD0168,1,0.01
ORD03453,PROD0067,2,0.1
ORD00487,PROD0036,2,0.16
ORD02701,PROD0194,1,0.07
ORD00598,PROD0145,5,0.21
ORD00290,PROD0089,1,0.28
ORD04901,PROD0190,5,0.28
ORD04518,PROD0123,2,0.08
ORD00342,PROD0027,1,0.15
ORD01846,PROD0167,3,0.13
ORD02486,PROD0059,1,0.28
ORD00216,PROD0199,2,0.16
ORD03108,PROD0175,1,0.17
ORD00428,PROD0100,4,0.21
ORD03521,PROD0180,4,0.16
ORD00947,PROD0113,1,0.27
