Order_ID,Customer_ID,Order_Date,Status
ORD00001,CUST0937,2024-07-26,Completed
ORD00002,CUST0423,2024-07-31,Returned
ORD00003,CUST0571,2025-03-20,Completed
ORD00004,CUST0398,2024-11-13,Completed
ORD00005,CUST0209,2025-04-09,Completed
ORD00006,CUST0081,2025-04-16,Returned
ORD00007,CUST0868,2025-05-30,Completed
ORD00008,CUST0549,2024-07-03,Cancelled
ORD00009,CUST0196,2024-12-14,Completed
ORD00010,CUST0387,2025-03-19,Completed
ORD00011,CUST0618,2025-01-21,Completed
ORD00012,CUST0075,2025-05-30,Completed
ORD00013,CUST0780,2024-11-18,Completed
ORD00014,CUST0688,2024-12-19,Completed
ORD00015,CUST0491,2024-08-02,Completed
ORD00016,CUST0929,2024-12-26,Completed
ORD00017,CUST0980,2024-12-23,Returned
ORD00018,CUST0217,2024-06-09,Returned
ORD00019,CUST0986,2024-10-19,Cancelled
ORD00020,CUST0765,2024-06-25,Returned
ORD00021,CUST0491,2024-12-01,Returned
ORD00022,CUST0713,2025-06-09,Completed
ORD00023,CUST0210,2024-08-09,Completed
ORD00024,CUST0246,2024-10-13,Completed
ORD00025,CUST0795,2024-07-18,Completed
ORD00026,CUST0478,2025-05-28,Completed
ORD00027,CUST0368,2024-12-05,Completed
ORD00028,CUST0369,2025-05-24,Completed
ORD00029,CUST0510,2024-08-16,Completed
ORD00030,CUST0823,2025-03-27,Returned
ORD00031,CUST0481,2025-02-13,Cancelled
ORD00032,CUST0328,2025-03-22,Returned
ORD00033,CUST0380,2024-10-01,Completed
ORD00034,CUST0047,2024-09-02,Completed
ORD00035,CUST0227,2025-01-30,Cancelled
ORD00036,CUST0017,2025-01-21,Completed
ORD00037,CUST0958,2025-02-19,Completed
ORD00038,CUST0738,2025-01-21,Completed
ORD00039,CUST0157,2025-04-26,Completed
ORD00040,CUST0236,2024-11-24,Completed
ORD00041,CUST0854,2025-01-01,Completed
ORD00042,CUST0564,2024-07-04,Completed
ORD00043,CUST0702,2025-01-18,Completed
ORD00044,CUST0782,2025-01-16,Cancelled
ORD00045,CUST0990,2024-07-08,Cancelled
ORD00046,CUST0758,2024-08-07,Completed
ORD00047,CUST0173,2025-04-12,Cancelled
ORD00048,CUST0361,2025-05-04,Completed
ORD00049,CUST0738,2024-09-02,Completed
ORD00050,CUST0189,2025-03-25,Returned
ORD00051,CUST0556,2025-04-13,Returned
ORD00052,CUST0981,2025-01-10,Completed
ORD00053,CUST0035,2025-05-07,Cancelled
ORD00054,CUST0077,2024-11-08,Returned
ORD00055,CUST0685,2025-05-15,Completed
ORD00056,CUST0007,2024-09-11,Completed
ORD00057,CUST0863,2024-10-26,Completed
ORD00058,CUST0070,2024-11-23,Cancelled
ORD00059,CUST0010,2025-01-08,Completed
ORD00060,CUST0467,2024-07-12,Completed
ORD00061,CUST0633,2025-04-04,Completed
ORD00062,CUST0957,2025-03-27,Completed
ORD00063,CUST0495,2025-04-26,Completed
ORD00064,CUST0017,2025-05-31,Completed
ORD00065,CUST0565,2024-07-23,Completed
ORD00066,CUST0018,2025-05-28,Completed
ORD00067,CUST0282,2024-09-03,Completed
ORD00068,CUST0294,2024-12-27,Completed
ORD00069,CUST0833,2024-10-19,Completed
ORD00070,CUST0441,2024-09-07,Cancelled
ORD00071,CUST0932,2024-08-12,Completed
ORD00072,CUST0941,2024-10-14,Completed
ORD00073,CUST0153,2024-11-02,Completed
ORD00074,CUST0635,2025-02-10,Completed
ORD00075,CUST0835,2024-07-20,Completed
ORD00076,CUST0815,2024-09-01,Completed
ORD00077,CUST0383,2025-05-29,Returned
ORD00078,CUST0471,2024-07-21,Completed
ORD00079,CUST0714,2025-01-28,Completed
ORD00080,CUST0701,2025-04-06,Cancelled
ORD00081,CUST0083,2024-12-15,Completed
ORD00082,CUST0879,2024-12-08,Completed
ORD00083,CUST0033,2025-05-02,Completed
ORD00084,CUST0389,2025-03-03,Completed
ORD00085,CUST0488,2025-06-07,Completed
ORD00086,CUST0010,2024-07-19,Cancelled
ORD00087,CUST0085,2024-10-10,Completed
ORD00088,CUST0445,2024-08-19,Completed
ORD00089,CUST0340,2024-11-27,Completed
ORD00090,CUST0879,2024-11-21,Returned
ORD00091,CUST0917,2025-01-24,Completed
ORD00092,CUST0044,2024-11-01,Completed
ORD00093,CUST0923,2024-06-30,Cancelled
ORD00094,CUST0909,2024-06-28,Completed
ORD00095,CUST0278,2025-03-06,Completed
ORD00096,CUST0077,2024-10-26,Completed
ORD00097,CUST0288,2024-09-03,Cancelled
ORD00098,CUST0578,2024-12-03,Completed
ORD00099,CUST0184,2025-03-15,Returned
ORD00100,CUST0323,2025-05-14,Completed
ORD00101,CUST0213,2024-10-29,Completed
ORD00102,CUST0771,2024-07-30,Cancelled
ORD00103,CUST0841,2024-08-29,Completed
ORD00104,CUST0079,2025-05-20,Completed
ORD00105,CUST0578,2024-08-27,Completed
ORD00106,CUST0855,2025-01-13,Cancelled
ORD00107,CUST0694,2024-11-26,Cancelled
ORD00108,CUST0340,2024-08-16,Completed
ORD00109,CUST0758,2025-04-18,Completed
ORD00110,CUST0706,2025-02-12,Cancelled
ORD00111,CUST0513,2025-04-12,Cancelled
ORD00112,CUST0355,2024-12-04,Completed
ORD00113,CUST0448,2024-12-27,Completed
ORD00114,CUST0078,2024-12-18,Completed
ORD00115,CUST0788,2025-04-27,Completed
ORD00116,CUST0610,2025-05-24,Completed
ORD00117,CUST0793,2024-08-17,Completed
ORD00118,CUST0650,2024-07-24,Completed
ORD00119,CUST0462,2025-05-31,Completed
ORD00120,CUST0365,2024-08-05,Completed
ORD00121,CUST0385,2024-12-20,Completed
ORD00122,CUST0697,2024-11-15,Completed
ORD00123,CUST0390,2025-02-18,Completed
ORD00124,CUST0634,2025-02-24,Completed
ORD00125,CUST0253,2024-07-19,Cancelled
ORD00126,CUST0085,2024-10-22,Completed
ORD00127,CUST0390,2024-09-08,Cancelled
ORD00128,CUST0650,2024-09-18,Completed
ORD00129,CUST0399,2025-01-16,Completed
ORD00130,CUST0110,2024-08-27,Completed
ORD00131,CUST0966,2025-02-28,Completed
ORD00132,CUST0369,2025-02-25,Cancelled
ORD00133,CUST0105,2024-06-13,Completed
ORD00134,CUST0192,2025-02-20,Completed
ORD00135,CUST0571,2025-05-28,Completed
ORD00136,CUST0418,2025-03-14,Completed
ORD00137,CUST0092,2024-07-02,Completed
ORD00138,CUST0096,2025-01-15,Completed
ORD00139,CUST0804,2025-01-01,Completed
